busbreakdown_id,school_year,year,month,day_of_week,hour,time_band,season,is_weekend,operator,operator_id,boro,boro_id,run_type,reason,reason_id,school_age,students_on_bus,notified_schools,notified_parents,alerted_opt,delay_minutes,on_time,incident_type,is_breakdown,occurred_ts
2013508,2025-2026,2025,9,6,6,AM_Peak,Autumn,0,L & M BUS CORP,34359738368,Manhattan,42949672960.0,Special Ed AM Run,Other,25769803776.0,School-Age,0,0,1,0,75.5,0,Running Late,0,2025-09-12 06:45:00
2010460,2025-2026,2025,9,3,6,AM_Peak,Autumn,0,L & M BUS CORP,34359738368,Brooklyn,8589934592.0,Pre-K/EI,Heavy Traffic,51539607552.0,PreK,0,1,1,0,75.5,0,Running Late,0,2025-09-02 06:00:00
2011230,2025-2026,2025,9,6,6,AM_Peak,Autumn,0,SNT BUS INC,17179869184,Manhattan,42949672960.0,General Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2025-09-05 06:32:00
2035991,2025-2026,2025,12,3,6,AM_Peak,Winter,0,LEESEL TRANSPORTATION CORP,42949672960,Manhattan,42949672960.0,Special Ed AM Run,Problem Run,25769803777.0,School-Age,3,1,0,0,75.5,0,Running Late,0,2025-12-02 06:50:00
2051121,2025-2026,2026,1,3,7,AM_Peak,Winter,0,PIONEER TRANSPORTATION CORP,25769803776,Bronx,60129542144.0,General Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,0,0,23.0,0,Running Late,0,2026-01-27 07:50:00
2031276,2025-2026,2025,11,6,7,AM_Peak,Autumn,0,LEESEL TRANSPORTATION CORP,42949672960,Nassau County,51539607552.0,Special Ed AM Run,Problem Run,25769803777.0,School-Age,0,0,0,0,23.0,0,Running Late,0,2025-11-14 07:00:00
2065914,2025-2026,2026,3,3,14,PM_Peak,Spring,0,QUALITY TRANSPORTATION CORP,51539607552,Queens,51539607553.0,General Ed PM Run,Mechanical Problem,34359738368.0,School-Age,0,0,0,0,,0,Breakdown,1,2026-03-03 14:20:00
2016684,2025-2026,2025,9,5,6,AM_Peak,Autumn,0,"GRANDPA`S BUS CO., INC",0,Queens,51539607553.0,General Ed AM Run,Other,25769803776.0,School-Age,0,0,0,0,38.0,0,Running Late,0,2025-09-25 06:35:00
2034536,2025-2026,2025,11,3,5,OffPeak,Autumn,0,PRIDE TRANSPORTATION,25769803777,Queens,51539607553.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2025-11-25 05:30:00
2020043,2025-2026,2025,10,3,6,AM_Peak,Autumn,0,LITTLE LISA BUS CO. INC,42949672961,Bronx,60129542144.0,Special Ed AM Run,Flat Tire,34359738369.0,School-Age,0,1,1,0,,0,Breakdown,1,2025-10-07 06:45:00
